Date,PartID,PartName,ServiceCenter,VehicleModel,QtyOrdered,UnitCost,LeadTimeDays
2/13/2024,P009,Battery Module,Fremont,Cybertruck,4,1348,4
6/10/2024,P002,Shock Absorber,Fremont,Cybertruck,48,1522,7
7/20/2024,P002,Tire Set,Fremont,Cybertruck,21,529,9
9/26/2024,P016,AC Compressor,Fremont,Cybertruck,28,1720,25
12/16/2024,P007,Tire Set,Berlin,Cybertruck,268,1784,13
10/30/2024,P004,Charging Cable,Austin,Model S,189,969,29
9/27/2024,P005,Shock Absorber,Berlin,Model 3,434,1728,13
8/2/2024,P001,Suspension Arm,Austin,Model Y,63,468,18
9/8/2024,P010,Coolant Pump,Austin,Model Y,458,370,23
7/8/2024,P013,Seat Belt Kit,Berlin,Model X,238,540,16
10/22/2024,P015,Battery Module,Austin,Cybertruck,94,1977,20
7/31/2024,P001,Brake Pad Set,Berlin,Model Y,39,1174,14
7/26/2024,P018,Fuse Box,Fremont,Model 3,45,539,28
8/24/2024,P014,Infotainment Screen,Fremont,Model X,120,719,4
12/3/2024,P018,Coolant Pump,Berlin,Model 3,71,520,29
2/22/2024,P012,Coolant Pump,New York,Model Y,379,1298,3
10/6/2024,P012,Charging Cable,Fremont,Model X,50,1991,4
8/4/2024,P005,Battery Module,Austin,Model S,91,1820,10
9/8/2024,P007,Coolant Pump,Fremont,Model X,292,584,7
7/6/2024,P013,Charging Cable,Berlin,Model Y,405,1139,8
2/10/2024,P009,Motor Assembly,Austin,Cybertruck,496,1462,26
6/5/2024,P006,Brake Pad Set,Shanghai,Model S,464,988,17
1/15/2024,P007,Coolant Pump,Shanghai,Model S,124,1870,9
10/27/2024,P018,Tire Set,Shanghai,Model 3,174,1017,10
3/5/2024,P015,Radiator,Austin,Model 3,98,1796,4
12/10/2024,P008,Coolant Pump,Austin,Model S,6,498,13
11/22/2024,P020,Infotainment Screen,Berlin,Model S,130,1308,19
1/9/2024,P016,Suspension Arm,Fremont,Cybertruck,490,1155,12
12/9/2024,P017,AC Compressor,Fremont,Cybertruck,423,1295,28
5/8/2024,P003,Suspension Arm,Fremont,Model Y,148,798,23
5/15/2024,P013,Seat Belt Kit,Austin,Cybertruck,140,1326,3
3/3/2024,P009,Headlight Assembly,Austin,Model Y,130,388,26
5/18/2024,P020,Door Handle,New York,Cybertruck,381,931,6
3/21/2024,P015,Windshield,Fremont,Model 3,146,351,4
6/11/2024,P016,Bumper Cover,Shanghai,Model Y,425,310,14
10/15/2024,P016,Mirror Assembly,Fremont,Model X,352,1660,18
9/17/2024,P019,Fuse Box,New York,Cybertruck,109,331,25
8/18/2024,P004,Door Handle,Austin,Model Y,471,1037,29
2/10/2024,P019,Seat Belt Kit,Shanghai,Model Y,183,1972,5
1/28/2024,P019,Door Handle,New York,Model Y,146,489,20
5/14/2024,P002,Tire Set,New York,Model Y,49,1245,10
7/19/2024,P006,Air Filter,Fremont,Model Y,24,127,11
11/23/2024,P013,Bumper Cover,New York,Cybertruck,355,1794,13
9/24/2024,P015,Radiator,New York,Model X,129,764,24
2/2/2024,P010,Windshield,New York,Cybertruck,46,437,4
2/17/2024,P010,Mirror Assembly,Fremont,Model X,112,269,22
3/2/2024,P004,Coolant Pump,Fremont,Model Y,341,1790,22
8/3/2024,P014,Headlight Assembly,Shanghai,Model Y,272,1418,24
10/19/2024,P008,Mirror Assembly,Berlin,Model Y,181,1254,15
4/8/2024,P006,Headlight Assembly,Fremont,Model 3,105,1563,27
6/20/2024,P012,Door Handle,Fremont,Cybertruck,374,1623,17
12/25/2024,P008,Mirror Assembly,Berlin,Model X,291,1589,29
8/1/2024,P006,Charging Cable,Shanghai,Cybertruck,153,1836,3
2/4/2024,P015,Mirror Assembly,New York,Model Y,296,1818,24
8/14/2024,P019,Air Filter,Austin,Model X,160,1689,12
4/10/2024,P014,Windshield,New York,Model 3,459,589,7
5/10/2024,P003,Brake Pad Set,Berlin,Model Y,61,585,16
9/13/2024,P018,Charging Cable,Berlin,Model Y,32,802,29
1/5/2024,P010,Charging Cable,Shanghai,Model S,349,1280,7
8/5/2024,P014,Charging Cable,Fremont,Cybertruck,252,525,11
9/11/2024,P014,Coolant Pump,Berlin,Cybertruck,139,1514,27
12/24/2024,P007,Tire Set,Austin,Model X,201,651,26
10/9/2024,P007,Steering Wheel,Fremont,Model S,163,1351,5
7/25/2024,P011,Battery Module,Shanghai,Model Y,73,1848,29
1/15/2024,P018,Air Filter,Shanghai,Model X,461,1071,19
12/11/2024,P010,Radiator,Berlin,Model S,301,1211,12
2/11/2024,P015,Infotainment Screen,Austin,Model X,374,620,10
6/27/2024,P012,Bumper Cover,Berlin,Model S,402,1130,23
3/3/2024,P017,Coolant Pump,Fremont,Model Y,117,1543,23
12/17/2024,P017,Coolant Pump,Fremont,Model Y,487,398,13
8/18/2024,P001,Motor Assembly,Austin,Model Y,149,1072,17
8/28/2024,P006,Windshield,Shanghai,Model S,333,1046,22
2/21/2024,P015,Radiator,Shanghai,Cybertruck,481,873,14
4/5/2024,P019,Infotainment Screen,Berlin,Model X,41,205,6
8/9/2024,P014,Bumper Cover,Fremont,Model 3,362,1349,29
8/18/2024,P010,Door Handle,Shanghai,Model 3,114,169,13
8/24/2024,P010,Fuse Box,Berlin,Model Y,199,1517,6
5/22/2024,P007,Motor Assembly,Fremont,Model S,328,1989,26
6/19/2024,P007,AC Compressor,Berlin,Cybertruck,11,686,15
1/29/2024,P014,Bumper Cover,Berlin,Model X,11,498,10
2/5/2024,P015,Radiator,Austin,Model X,439,120,13
1/13/2024,P020,Suspension Arm,Fremont,Cybertruck,160,1058,28
6/8/2024,P009,Air Filter,New York,Model X,411,1891,27
11/22/2024,P015,Windshield,New York,Model S,220,1572,24
7/5/2024,P009,Headlight Assembly,Fremont,Model 3,291,1767,16
8/30/2024,P007,Windshield,Berlin,Model 3,18,388,25
3/26/2024,P011,Brake Pad Set,Shanghai,Cybertruck,319,1440,20
10/10/2024,P005,Seat Belt Kit,New York,Model S,12,1060,21
3/6/2024,P009,Bumper Cover,Fremont,Cybertruck,147,654,22
6/18/2024,P006,Door Handle,New York,Cybertruck,434,1626,19
2/14/2024,P007,Tire Set,Fremont,Cybertruck,234,207,28
3/2/2024,P014,Headlight Assembly,New York,Model Y,298,473,23
5/13/2024,P019,Windshield,New York,Model 3,180,686,19
10/10/2024,P011,Infotainment Screen,Fremont,Cybertruck,296,627,29
1/28/2024,P007,Fuse Box,New York,Model 3,229,1952,22
4/17/2024,P006,Suspension Arm,New York,Model Y,264,1786,22
2/13/2024,P004,Bumper Cover,Austin,Model S,375,747,18
12/5/2024,P014,Infotainment Screen,Austin,Cybertruck,427,1427,4
10/12/2024,P003,Motor Assembly,Fremont,Model X,405,211,4
11/26/2024,P017,Charging Cable,New York,Model 3,278,1364,4
5/7/2024,P015,Charging Cable,Berlin,Model X,398,736,28
12/13/2024,P001,Motor Assembly,Berlin,Model 3,130,461,7
8/18/2024,P011,Windshield,Fremont,Model X,7,1129,26
7/8/2024,P013,Air Filter,Berlin,Model X,200,190,8
8/12/2024,P003,Shock Absorber,Fremont,Model 3,175,174,5
10/9/2024,P013,Shock Absorber,Berlin,Model 3,208,353,6
4/30/2024,P018,Brake Pad Set,Fremont,Model S,472,1088,5
4/25/2024,P009,Bumper Cover,Fremont,Model Y,441,323,18
8/20/2024,P002,Air Filter,Shanghai,Model 3,441,258,3
9/15/2024,P008,Mirror Assembly,Berlin,Model X,268,64,26
12/24/2024,P002,Infotainment Screen,Austin,Model Y,63,800,13
7/16/2024,P001,Charging Cable,Shanghai,Cybertruck,327,86,8
5/16/2024,P003,Shock Absorber,Austin,Model Y,181,892,21
11/13/2024,P017,Bumper Cover,Fremont,Model 3,21,461,3
6/13/2024,P007,Door Handle,Austin,Model Y,38,402,21
8/12/2024,P010,Tire Set,Austin,Model Y,318,932,28
11/2/2024,P019,Radiator,Shanghai,Model Y,105,1607,9
8/21/2024,P009,Charging Cable,Berlin,Model 3,173,471,19
6/20/2024,P018,Fuse Box,Berlin,Model 3,225,1494,3
5/31/2024,P015,Seat Belt Kit,Shanghai,Model 3,285,76,5
11/10/2024,P017,Shock Absorber,Austin,Cybertruck,278,114,5
6/8/2024,P017,Charging Cable,Austin,Model 3,50,304,14
4/5/2024,P019,Radiator,Austin,Cybertruck,363,1074,29
8/20/2024,P009,AC Compressor,Austin,Cybertruck,465,964,16
6/28/2024,P006,Battery Module,Austin,Model S,494,411,7
4/22/2024,P019,Charging Cable,Berlin,Model Y,308,1257,7
11/13/2024,P008,Tire Set,Fremont,Model Y,123,1274,8
2/21/2024,P006,Charging Cable,Berlin,Model X,483,568,13
9/24/2024,P017,Motor Assembly,Berlin,Model X,335,1871,7
10/21/2024,P006,Steering Wheel,Berlin,Model S,11,1972,27
4/22/2024,P013,Brake Pad Set,Fremont,Model S,301,932,26
4/10/2024,P002,Motor Assembly,Berlin,Model Y,108,608,5
4/22/2024,P012,Infotainment Screen,Fremont,Model 3,134,230,17
3/21/2024,P007,Brake Pad Set,Austin,Model X,470,1365,5
7/5/2024,P006,Tire Set,Austin,Model 3,437,1957,14
4/22/2024,P017,AC Compressor,Berlin,Model X,71,332,27
1/2/2024,P008,Seat Belt Kit,Austin,Model Y,27,1118,12
5/9/2024,P006,AC Compressor,Shanghai,Model S,374,337,3
8/7/2024,P019,Windshield,Berlin,Model S,223,1135,17
2/23/2024,P009,Motor Assembly,Fremont,Model 3,28,1174,14
12/8/2024,P020,Charging Cable,Shanghai,Model Y,289,1022,4
8/11/2024,P016,Fuse Box,Austin,Model 3,329,919,5
8/12/2024,P018,Seat Belt Kit,Shanghai,Cybertruck,348,1827,13
5/5/2024,P019,Air Filter,New York,Model Y,285,1489,17
5/9/2024,P007,Radiator,Fremont,Model X,367,1055,26
2/22/2024,P008,Tire Set,Shanghai,Model Y,383,1128,20
6/20/2024,P019,Fuse Box,Austin,Model X,116,530,7
8/5/2024,P001,Air Filter,Shanghai,Model S,483,613,4
6/8/2024,P013,Mirror Assembly,Fremont,Model 3,429,1503,14
7/16/2024,P001,Radiator,Austin,Cybertruck,368,1618,26
9/3/2024,P011,Tire Set,Fremont,Cybertruck,429,1574,17
11/19/2024,P002,Radiator,Fremont,Model S,393,906,20
7/21/2024,P003,Door Handle,Fremont,Model S,276,1874,22
7/2/2024,P013,Radiator,Berlin,Model X,412,512,29
5/2/2024,P007,Coolant Pump,New York,Cybertruck,384,1702,13
9/11/2024,P002,Charging Cable,Austin,Model X,456,1178,5
10/20/2024,P002,Door Handle,Austin,Model X,27,1394,28
10/6/2024,P003,Air Filter,New York,Model X,135,1391,4
11/20/2024,P013,Infotainment Screen,Shanghai,Cybertruck,218,1099,11
4/7/2024,P012,Seat Belt Kit,Austin,Cybertruck,418,410,4
7/16/2024,P001,Door Handle,Berlin,Model X,444,59,13
8/27/2024,P018,Infotainment Screen,Austin,Model X,159,201,15
5/23/2024,P005,Tire Set,Fremont,Model 3,137,1740,22
4/6/2024,P019,Tire Set,Shanghai,Model S,216,501,18
7/19/2024,P010,Seat Belt Kit,Fremont,Model S,55,1528,24
5/3/2024,P006,Steering Wheel,New York,Model 3,223,1666,26
7/5/2024,P018,Seat Belt Kit,Fremont,Cybertruck,310,764,19
11/21/2024,P015,Seat Belt Kit,Shanghai,Cybertruck,486,864,21
12/14/2024,P014,Motor Assembly,Austin,Model S,338,436,4
9/15/2024,P016,Fuse Box,Fremont,Model 3,203,446,8
5/27/2024,P004,Shock Absorber,New York,Model Y,438,252,19
9/8/2024,P019,Tire Set,Shanghai,Model 3,89,267,11
12/11/2024,P008,Motor Assembly,Berlin,Cybertruck,211,976,29
5/26/2024,P001,Fuse Box,Berlin,Cybertruck,302,837,24
5/27/2024,P020,Coolant Pump,Austin,Model X,211,1250,20
12/17/2024,P013,Bumper Cover,Austin,Model 3,176,462,15
7/17/2024,P009,AC Compressor,Fremont,Model Y,130,1722,18
11/3/2024,P001,Brake Pad Set,New York,Model X,191,1018,13
5/7/2024,P015,Steering Wheel,Berlin,Model S,290,836,22
2/8/2024,P015,Charging Cable,Austin,Cybertruck,407,772,27
12/3/2024,P014,Shock Absorber,Shanghai,Model S,250,900,14
12/25/2024,P005,Windshield,Shanghai,Model X,419,544,7
5/8/2024,P017,Suspension Arm,Shanghai,Model X,467,1213,7
9/23/2024,P006,Windshield,Shanghai,Model 3,384,1807,26
5/30/2024,P009,Steering Wheel,Berlin,Cybertruck,481,1916,14
10/24/2024,P020,Door Handle,Austin,Model X,311,326,6
4/8/2024,P019,AC Compressor,New York,Model X,397,142,3
9/19/2024,P017,Door Handle,Austin,Cybertruck,361,973,18
9/8/2024,P007,Fuse Box,Austin,Model X,499,934,4
5/23/2024,P008,Motor Assembly,Austin,Cybertruck,317,180,22
12/11/2024,P015,Charging Cable,Fremont,Model Y,488,1211,13
4/21/2024,P006,Steering Wheel,Austin,Model X,280,1193,23
2/29/2024,P001,Seat Belt Kit,Shanghai,Cybertruck,87,728,29
1/2/2024,P009,Headlight Assembly,Fremont,Cybertruck,313,1252,11
10/30/2024,P007,Radiator,Austin,Model S,167,1965,23
9/10/2024,P020,Fuse Box,Berlin,Model S,482,280,25
5/19/2024,P019,Battery Module,Berlin,Model Y,275,485,23
2/6/2024,P004,Mirror Assembly,Berlin,Model X,183,484,24
6/8/2024,P001,Charging Cable,Shanghai,Cybertruck,177,1009,11
1/9/2024,P009,Headlight Assembly,Berlin,Model X,26,415,18
8/20/2024,P002,Air Filter,Shanghai,Model Y,67,1129,6
4/8/2024,P016,Tire Set,Fremont,Model Y,172,253,14
5/26/2024,P002,Battery Module,Shanghai,Model Y,238,1065,17
10/30/2024,P003,Motor Assembly,New York,Model X,218,1294,28
7/26/2024,P014,Radiator,New York,Model 3,341,74,29
5/10/2024,P013,Seat Belt Kit,Fremont,Model X,112,932,11
5/31/2024,P017,Door Handle,New York,Model 3,186,1507,3
2/23/2024,P010,Fuse Box,Austin,Model S,184,69,7
4/29/2024,P003,Bumper Cover,Berlin,Model X,281,570,23
6/9/2024,P004,Door Handle,Shanghai,Cybertruck,42,154,21
4/25/2024,P005,Coolant Pump,Austin,Model 3,101,179,16
3/15/2024,P011,AC Compressor,Berlin,Model 3,270,1564,27
4/22/2024,P006,Infotainment Screen,New York,Cybertruck,324,99,22
4/13/2024,P001,Shock Absorber,Fremont,Model Y,450,1836,17
12/5/2024,P019,Door Handle,Shanghai,Model S,61,915,9
9/10/2024,P007,Windshield,Berlin,Cybertruck,375,1206,24
8/14/2024,P010,Brake Pad Set,Austin,Model X,42,1766,11
4/21/2024,P012,Mirror Assembly,New York,Model 3,340,623,6
4/8/2024,P012,Fuse Box,Berlin,Cybertruck,381,1523,19
6/1/2024,P001,Door Handle,Fremont,Model Y,462,824,7
12/14/2024,P009,Brake Pad Set,Austin,Cybertruck,128,1117,8
12/31/2024,P017,Windshield,Shanghai,Model Y,446,1798,16
12/3/2024,P012,Air Filter,Fremont,Model Y,471,744,6
7/12/2024,P002,Fuse Box,Fremont,Cybertruck,387,1543,18
11/5/2024,P009,Bumper Cover,Shanghai,Model S,115,895,3
6/11/2024,P012,Mirror Assembly,New York,Model 3,190,226,4
7/26/2024,P004,Steering Wheel,Fremont,Model S,334,558,28
6/17/2024,P012,Coolant Pump,Berlin,Model X,302,1436,4
6/9/2024,P018,Headlight Assembly,Fremont,Model Y,134,799,24
3/8/2024,P003,Tire Set,Austin,Model S,453,659,7
10/15/2024,P001,Motor Assembly,New York,Cybertruck,440,109,23
10/3/2024,P018,Battery Module,Shanghai,Model Y,267,1915,11
10/30/2024,P008,Motor Assembly,Fremont,Model 3,49,570,28
5/14/2024,P019,Headlight Assembly,New York,Model S,265,803,10
7/13/2024,P004,Coolant Pump,New York,Model 3,94,1957,5
5/7/2024,P016,Headlight Assembly,Fremont,Model Y,75,653,26
2/2/2024,P017,Infotainment Screen,Berlin,Model S,62,1218,26
6/24/2024,P009,Headlight Assembly,New York,Model Y,313,390,17
1/22/2024,P008,Battery Module,Austin,Model Y,326,1223,29
8/25/2024,P020,Battery Module,Berlin,Model Y,63,1241,28
6/6/2024,P019,Seat Belt Kit,Austin,Model 3,499,182,23
2/7/2024,P007,Seat Belt Kit,Berlin,Model 3,219,111,9
8/17/2024,P012,Motor Assembly,New York,Model 3,435,1518,7
12/30/2024,P001,Tire Set,New York,Model 3,315,1639,16
2/20/2024,P017,Windshield,Austin,Model X,463,483,10
9/20/2024,P006,Mirror Assembly,Fremont,Model X,277,209,13
10/9/2024,P005,Door Handle,Berlin,Model Y,307,1303,13
1/27/2024,P020,AC Compressor,Shanghai,Cybertruck,405,1791,17
8/13/2024,P007,Motor Assembly,New York,Model X,236,1037,18
10/3/2024,P012,Tire Set,Fremont,Model S,143,1987,14
10/12/2024,P005,Mirror Assembly,Berlin,Cybertruck,154,1584,22
4/6/2024,P002,Air Filter,Shanghai,Cybertruck,467,1350,5
10/10/2024,P004,Radiator,Shanghai,Cybertruck,126,1040,17
11/12/2024,P017,Mirror Assembly,New York,Model Y,442,498,23
10/30/2024,P008,Shock Absorber,Berlin,Model S,175,495,28
5/26/2024,P020,Door Handle,Fremont,Model X,182,1531,19
1/4/2024,P005,Battery Module,Fremont,Model Y,484,786,11
2/4/2024,P017,Charging Cable,New York,Model S,490,321,23
7/10/2024,P020,Infotainment Screen,Austin,Model S,256,647,13
2/18/2024,P004,Coolant Pump,Shanghai,Model 3,236,1996,28
1/17/2024,P018,Steering Wheel,Austin,Model S,32,1739,21
6/20/2024,P018,Shock Absorber,Austin,Model Y,63,1532,8
8/7/2024,P018,Charging Cable,Austin,Model X,1,1765,12
6/6/2024,P016,Battery Module,Shanghai,Cybertruck,398,1686,24
2/15/2024,P011,AC Compressor,Fremont,Model Y,337,969,5
1/6/2024,P008,Brake Pad Set,Berlin,Model S,15,480,17
4/8/2024,P012,Suspension Arm,Berlin,Model Y,108,714,10
8/20/2024,P018,Fuse Box,Fremont,Model Y,136,1553,13
2/6/2024,P018,Battery Module,Austin,Cybertruck,445,627,16
10/6/2024,P008,Suspension Arm,Austin,Model X,7,1923,16
12/14/2024,P016,Charging Cable,Austin,Model 3,329,1587,21
10/28/2024,P017,Steering Wheel,Austin,Model 3,359,135,22
6/29/2024,P002,Motor Assembly,New York,Model 3,54,1772,3
4/4/2024,P015,Steering Wheel,New York,Cybertruck,349,943,18
4/8/2024,P007,Tire Set,Berlin,Model S,18,1135,22
7/6/2024,P001,Windshield,Fremont,Cybertruck,165,1784,14
4/25/2024,P002,Fuse Box,Fremont,Cybertruck,213,1604,12
7/9/2024,P004,Tire Set,New York,Model Y,373,1265,25
9/9/2024,P016,Seat Belt Kit,Austin,Cybertruck,409,598,26
6/9/2024,P012,Bumper Cover,Berlin,Model Y,96,1904,28
9/12/2024,P017,Charging Cable,Fremont,Model Y,10,1185,16
11/18/2024,P004,Battery Module,Berlin,Model 3,140,741,12
5/7/2024,P016,Steering Wheel,Fremont,Model S,245,927,18
1/18/2024,P007,Charging Cable,New York,Model 3,321,539,12
10/7/2024,P008,Motor Assembly,Fremont,Model S,443,1942,23
8/10/2024,P009,Shock Absorber,Austin,Model 3,474,1860,25
2/23/2024,P014,Tire Set,Austin,Cybertruck,339,1247,16
2/27/2024,P009,Mirror Assembly,Austin,Model X,342,1992,27
11/18/2024,P015,Headlight Assembly,Shanghai,Model 3,423,759,18
12/25/2024,P004,Charging Cable,New York,Model X,439,1767,20
6/22/2024,P003,Infotainment Screen,Austin,Model S,311,1236,7
10/6/2024,P010,Fuse Box,Fremont,Model 3,264,1661,3
4/23/2024,P004,Seat Belt Kit,Austin,Model S,422,1028,7
10/14/2024,P018,AC Compressor,New York,Model 3,422,212,22
12/7/2024,P011,Motor Assembly,Fremont,Model X,116,1703,14
5/30/2024,P019,Door Handle,New York,Model 3,355,143,18
5/6/2024,P019,Brake Pad Set,New York,Model 3,123,191,15
6/3/2024,P018,Headlight Assembly,Shanghai,Model Y,245,563,7
9/29/2024,P013,Mirror Assembly,Austin,Cybertruck,46,1625,8
4/13/2024,P004,Shock Absorber,Fremont,Model 3,381,766,10
10/25/2024,P003,AC Compressor,Berlin,Model Y,277,1679,7
9/2/2024,P016,Bumper Cover,Shanghai,Cybertruck,328,1826,15
6/24/2024,P014,Battery Module,Austin,Model X,105,1788,24
2/8/2024,P010,Tire Set,Shanghai,Model Y,391,551,16
6/18/2024,P006,Steering Wheel,Berlin,Model Y,64,1334,28
9/3/2024,P008,Tire Set,Fremont,Model 3,316,1345,21
1/26/2024,P016,Motor Assembly,Shanghai,Model X,239,1661,16
12/20/2024,P010,AC Compressor,New York,Cybertruck,406,81,20
11/1/2024,P007,Brake Pad Set,Austin,Model X,280,1456,21
1/13/2024,P019,Door Handle,Austin,Model X,242,876,18
11/11/2024,P018,Brake Pad Set,Fremont,Model S,7,345,5
11/8/2024,P013,Motor Assembly,Fremont,Model X,202,393,24
2/5/2024,P008,Battery Module,Austin,Cybertruck,397,430,8
6/21/2024,P014,Shock Absorber,Berlin,Model 3,221,1578,21
1/20/2024,P009,Steering Wheel,Shanghai,Cybertruck,14,1384,28
11/16/2024,P012,Tire Set,Austin,Cybertruck,97,668,18
9/20/2024,P006,Steering Wheel,Fremont,Cybertruck,264,966,3
5/21/2024,P020,Bumper Cover,Austin,Model S,417,1162,28
5/22/2024,P012,Door Handle,New York,Model X,458,1443,7
4/1/2024,P019,Windshield,New York,Cybertruck,480,1507,17
12/19/2024,P012,Motor Assembly,Austin,Model Y,86,938,19
11/17/2024,P007,Steering Wheel,Shanghai,Model X,20,1629,26
10/14/2024,P015,Shock Absorber,New York,Model Y,397,618,5
8/2/2024,P016,Bumper Cover,Berlin,Cybertruck,284,1212,8
12/7/2024,P004,Suspension Arm,Berlin,Model 3,359,1676,25
2/20/2024,P006,Mirror Assembly,Fremont,Model S,417,1033,26
6/1/2024,P016,Infotainment Screen,Fremont,Model S,40,1429,28
7/4/2024,P015,Air Filter,Austin,Model Y,88,333,19
3/3/2024,P002,Door Handle,New York,Model S,67,498,26
7/8/2024,P003,Seat Belt Kit,Berlin,Cybertruck,184,1948,26
5/4/2024,P015,Radiator,New York,Model Y,110,1922,21
5/29/2024,P008,Coolant Pump,Austin,Cybertruck,39,321,27
11/9/2024,P012,Charging Cable,New York,Cybertruck,15,1853,15
2/27/2024,P002,Brake Pad Set,Shanghai,Model Y,356,1598,26
12/7/2024,P015,Radiator,New York,Model 3,202,1551,23
10/31/2024,P008,Bumper Cover,Fremont,Model Y,485,274,14
6/28/2024,P011,Windshield,Austin,Cybertruck,492,1984,16
6/18/2024,P017,Air Filter,Berlin,Cybertruck,314,1503,17
11/21/2024,P001,Brake Pad Set,Shanghai,Model 3,100,815,19
9/27/2024,P020,Tire Set,Berlin,Model Y,237,1758,29
2/23/2024,P015,Tire Set,Fremont,Model X,156,1232,23
4/10/2024,P002,Battery Module,Shanghai,Model 3,373,1686,12
9/20/2024,P010,Coolant Pump,Fremont,Model X,10,556,14
